king, koning
child, kind 
children, kinderen
cloud, wolk 
clouds, wolken
color, kleur 
colors, kleuren
computer, computer 
computers, computers
cow, koe 
cows, koeien
dog, hond 
dogs, honden
dollar, dollar 
dollars, dollars
donkey, ezel 
donkeys, ezels
dream, droom 
dreams, dromen
eagle, adelaar 
eagles, adelaars
elephant, olifant
elephants, olifanten
eye, oog 
eyes, ogen
finger, vinger 
fingers, vingers
goat, geit 
goats, geiten
hand, hand 
hands, handen
horse, paard 
horses, paarden
lion, leeuw 
lions, leeuwen
machine, machine 
machines, machines
mango, mango
mangoes, mangos
man, man 
men, mannen
melon, meloen 
melons, meloenen
monkey, aap 
monkeys, apen
mouse, muis 
mice, muizen
onion, ui 
onions, uien
pear, peer 
pears, peren
talk, praat
talks, praat  
think, denk 
thinks, denkt
vanish, verdwijn 
vanishes, verdwijnt
walk, loop 
walks, loopt
work, werk 
works, werkt
write, schrijf 
writes, schrijft
decrease,  
decreases
describe, beschrijf 
describes, beschrijft
eat, eet 
eats, eet
enhance, verrijk 
enhances, verrijkt
estimate, schat 
estimates, schat
find, vind 
finds, vindt
generate, genereer 
generates, genereert
go, ga 
goes, gaat
implement, implementeer 
implements, implementeert
increase, verminder 
increases, vermindert
listen, luister 
listens, luistert
play, speel 
plays, speelt
predict, voorspel 
predicts, voorspelt
provide, verschaf 
provides, verschaft
say, zeg 
says, zegt
scream, schreeuw 
screams, schreeuwt
search, zoek 
searches, zoekt
see, zie 
sees, ziet
shuffle, schud 
shuffles, schudt
sing, zing 
sings, zingt
sit, zit 
sits, zit
speak, spreek 
speaks, spreekt
swim, zwem 
swims, zwemt
: gram7-past-tense
dancing, dansen
danced, gedanst 
decreasing, verminderen 
decreased, verminderd
describing, beschrijven 
described, beschreven
enhancing, verrijken 
enhanced, verrijkt
falling, vallen 
fell, gevallen
feeding, voeden 
fed, gevoed
flying, vliegen 
flew, gevlogen
generating, genereren 
generated, gegenereerd
going, gaan 
went, gegaan
hiding, verstoppen 
hid, verstopt
hitting, slaan 
hit, geslagen
implementing, implementeren 
implemented, geïmplementeerd
increasing, toenemen 
increased, toegenomen
jumping, springen 
jumped, gesprongen
knowing, weten 
knew, geweten
listening, luisteren 
listened, geluisterd
looking, kijken 
looked, gekeken
moving, bewegen 
moved, bewoog
paying, betalen
paid, betaald
playing, spelen
played, gespeeld
predicting, voorspellen 
predicted, voorspeld
reading, lezen 
read, gelezen
running, rennen 
ran, gerent
saying, zeggen 
said, gezegd
screaming, schreeuwen 
screamed, geschreeuwd
seeing, zien 
saw, gezien
selling, verkopen 
sold, verkocht
shrinking, krimpen 
shrank, gekrompen
singing, zingen 
sang, gezongen
sitting, zitten 
sat, gezeten
sleeping, slapen 
slept, geslapen
slowing, vertragen 
slowed, vertraagd
spending, uitgeven  
spent, uitgegeven
striking, opvallen 
struck, opgevallen
swimming, zwemmen 
swam, gezwommen
taking, nemen 
took, genomen
thinking, denken 
thought, gedacht
vanishing, verdwijnen 
vanished, verdwenen
walking, lopen 
walked, gelopen
writing, schrijven 
wrote, geschreven
: capital-common-countries
baghdad, bagdad
iraq, irak
bangkok, bangkok 
thailand, thailand
beijing, beijing 
china, china
berlin, berlijn 
germany, duitsland
bern, bern 
switzerland, zwitserland
cairo, caïro 
egypt, egypte
canberra, canberra 
australia, australië
hanoi, hanoi 
vietnam, vietnam
havana, havana 
cuba, cuba
helsinki, helsinki 
finland, finland
islamabad, islamabad 
pakistan, pakistan
kabul, kabul 
afghanistan, afghanistan
london, londen 
england, engeland
madrid, madrid 
spain, spanje
moscow, moskou 
russia, rusland
oslo, oslo 
norway, noorwegen
ottawa, ottawa 
canada, canada
paris, parijs
france, frankrijk
rome, rome 
italy, italie
stockholm, stockholm 
sweden, zweden
tehran, tehran 
iran, iran
tokyo, tokyo 
japan, japan
athens, athene 
greece, griekenland
: capital-world
abuja, abuja
nigeria, nigerie  
accra, accra 
ghana, ghana
algiers, algiers 
algeria, algerije
amman, amman 
jordan, jordanië
ankara, ankara 
turkey, turkije
antananarivo=, antananarivo
madagascar, madagascar
apia, apia 
samoa, samoa
ashgabat, ashgabat 
turkmenistan, turkmenistan
asmara, asmara 
eritrea, eritrea
astana, astana 
kazakhstan, kazachstan
athens, athene 
greece, griekenland
baghdad, bagdad 
iraq, irak
baku, baku 
azerbaijan, azerbeidzjan
bamako, bamako 
mali, mali
bangkok, bangkok 
thailand, thailand
banjul, banjul 
gambia, gambia
beijing, beijing 
china, china
beirut, beiroet 
lebanon, libanon
belgrade, belgrado 
serbia, servië
belmopan, belmopan 
belize, belize
berlin, berlijn 
germany, duitsland
bern, bern 
switzerland, zwitserland
bishkek, bishkek 
kyrgyzstan, kirgizië
bratislava, bratislava 
slovakia, slowakije
brussels, brussel 
belgium, belgië
bucharest, boekarest 
romania, roemenië
budapest, boedapest 
hungary, hongarije
bujumbura, bujumbura 
burundi, boeroendi
cairo, cairo 
egypt, egypte
canberra, canberra 
australia, australië
caracas, caracas 
venezuela, venezuela
chisinau, chisinau
moldova, moldavië
conakry, conakry 
guinea, guinea
copenhagen, kopenhagen 
denmark, denemarken
dakar, dakar 
senegal, senegal
damascus, damascus 
syria, syrië
dhaka, dhaka 
bangladesh, bangladesh
doha, doha 
qatar, katar
dublin, dublin 
ireland, ierland
dushanbe, dushanbe 
tajikistan, tadzjikistan

